   #Date       Time       lat.     long.   depth  Mn   residue
2017-11-13 22:35:17.521 34.64436 46.12975 5.688 3.20 0.318
2017-11-14 00:06:37.392 34.55261 45.76555 2.576 4.00 0.483
2017-11-14 01:08:47.021 34.47464 45.92546 10.853 4.10 0.585
2017-11-14 01:45:48.306 34.47120 45.77245 2.002 4.10 0.470
2017-11-14 03:10:17.634 34.63020 45.71957 2.001 3.20 0.275
2017-11-14 03:38:16.900 34.96827 45.89314 8.428 3.10 0.000
2017-11-14 04:47:59.304 34.44243 45.81192 7.146 3.40 0.515
2017-11-14 05:03:05.145 34.59954 45.76664 4.346 3.40 0.471
2017-11-14 07:35:46.487 34.58252 45.75068 7.325 4.00 0.348
2017-11-14 08:19:33.201 34.52782 45.74717 6.959 3.40 0.330
2017-11-14 08:46:16.720 34.40873 45.80250 2.001 3.80 0.328
2017-11-14 10:11:16.008 34.70343 46.25211 6.000 3.60 0.449
2017-11-14 10:15:45.942 34.74154 46.20238 9.479 3.10 0.361
2017-11-14 12:35:58.446 34.59975 45.72976 5.857 3.10 0.356
2017-11-14 12:44:31.803 34.45543 45.83149 8.129 3.10 0.266
2017-11-14 15:16:05.836 34.58141 45.70795 7.167 4.20 0.000
2017-11-14 16:12:47.950 34.65707 45.62522 2.003 3.80 0.377
2017-11-14 17:23:16.103 34.66757 45.59218 4.822 3.30 0.999
2017-11-14 17:27:06.766 34.68133 45.57512 4.234 3.30 0.471
2017-11-14 19:56:16.357 34.55740 45.75138 5.939 3.20 0.715
2017-11-14 20:37:22.596 34.10382 46.17725 8.147 3.10 0.000
2017-11-14 21:41:12.663 34.08308 46.23161 2.001 3.50 0.363
2017-11-14 23:04:35.338 34.65446 45.80214 12.001 3.10 0.769
2017-11-15 00:44:19.627 34.51943 45.78965 2.001 3.60 0.401
2017-11-15 00:56:37.684 34.78584 45.82758 7.581 3.10 0.431
2017-11-15 03:58:34.232 34.52025 45.88760 2.001 3.20 0.067
2017-11-15 07:11:21.217 34.54224 45.85866 8.659 4.00 0.490
2017-11-15 08:59:38.745 34.65318 46.06860 12.117 3.90 0.259
2017-11-15 11:44:45.730 34.56492 45.80772 7.289 3.50 0.300
2017-11-15 15:20:38.933 34.57309 45.61279 5.998 4.20 0.261
2017-11-15 19:03:08.720 34.64806 46.08992 13.045 3.10 0.872
2017-11-15 19:26:28.952 34.51290 45.92420 2.004 3.40 0.707
2017-11-15 19:44:07.151 34.43577 45.80640 8.940 3.50 0.603
2017-11-15 19:47:44.570 34.60140 46.09589 10.181 3.60 0.248
2017-11-15 20:09:39.061 34.43743 45.79189 5.837 3.40 0.064
2017-11-15 20:15:12.796 34.48809 45.87532 2.001 3.20 0.141
2017-11-15 20:43:20.998 34.56987 45.73205 5.115 3.20 0.103
2017-11-15 23:50:14.005 34.39055 45.64874 16.000 3.20 0.400
2017-11-16 00:16:15.849 34.40962 45.59568 5.998 3.80 0.418
2017-11-16 00:38:03.426 34.39905 45.67909 16.001 3.30 0.257
2017-11-16 01:03:33.762 34.62779 46.40059 8.923 3.30 0.275
2017-11-16 01:09:19.639 34.58664 45.53548 3.997 3.80 0.301
2017-11-16 01:27:41.444 34.59847 46.35250 6.515 3.40 0.397
2017-11-16 03:55:59.887 34.63335 45.95083 29.996 3.50 0.415
2017-11-16 06:16:54.277 34.62740 46.42272 7.300 3.20 0.440
2017-11-16 07:10:37.377 34.59716 46.13151 7.156 3.50 0.356
2017-11-16 07:49:31.765 34.58789 45.79988 6.517 3.20 0.241
2017-11-16 10:15:41.846 34.74939 45.73723 8.002 3.20 0.131
2017-11-16 13:00:35.921 34.50561 45.77303 7.106 3.80 0.380
2017-11-16 13:25:10.360 34.52153 45.77820 2.865 3.20 0.424
2017-11-16 14:22:49.146 34.60778 46.27443 7.377 3.30 0.302
2017-11-16 16:07:55.431 34.44918 46.26520 5.115 3.20 0.172
2017-11-16 17:33:14.849 34.63002 46.27549 7.429 3.20 0.266
2017-11-16 22:14:00.671 34.77303 45.83040 6.001 3.10 0.658
2017-11-17 01:17:38.555 35.11106 45.83567 28.433 3.20 0.489
2017-11-17 09:27:18.271 34.32092 45.67471 24.089 3.60 0.755
2017-11-17 12:24:05.993 34.50222 45.78362 7.699 3.90 0.238
2017-11-17 14:02:53.705 34.59869 45.59106 7.849 4.20 0.527
2017-11-17 15:23:45.696 34.60944 46.30581 7.413 3.10 0.153
2017-11-17 23:43:23.420 34.62064 46.08691 9.224 3.20 0.123
2017-11-17 23:45:42.000 34.57250 46.25829 5.094 3.10 0.560
2017-11-18 01:04:41.294 34.61835 46.27747 6.000 3.40 0.267
2017-11-18 02:48:46.051 34.45803 45.77346 9.581 3.10 0.560
2017-11-18 02:52:53.737 34.59879 46.19150 8.821 3.20 0.079
2017-11-18 04:12:15.803 34.49653 45.63329 6.003 4.50 0.412
2017-11-18 06:32:28.027 34.63126 46.28366 5.817 3.40 0.396
2017-11-18 11:28:28.616 34.77476 45.63419 15.899 3.30 0.444
2017-11-18 23:05:41.915 34.39856 45.66401 6.000 3.30 0.212
2017-11-19 01:07:33.864 34.41419 45.91553 7.251 4.10 0.609
2017-11-19 01:55:02.826 34.43467 45.91552 8.001 3.10 0.331
2017-11-19 02:59:16.381 34.42825 45.90696 12.940 3.90 0.551
2017-11-19 06:19:49.187 35.19337 46.33097 2.001 4.20 0.430
2017-11-19 13:56:37.691 34.55501 45.91884 2.002 3.50 0.664
2017-11-19 14:04:59.450 34.45412 45.75466 2.005 3.50 0.251
2017-11-19 20:47:33.047 34.54968 46.19976 2.001 3.20 0.167
2017-11-19 21:01:37.499 34.76884 45.81511 3.259 3.30 0.546
2017-11-19 23:08:00.251 34.59119 46.20121 5.629 3.30 0.176
