#Lon	Lat	Depth size	Mag.
45.854	34.887	10.1	0.24    2.4
45.86	34.614	8.5	0.23    2.3
45.74	34.379	14	0.32    3.2
45.864	34.517	12.5	0.24    2.4
46.026	34.559	7.9	0.18    1.8
46.223	34.642	7.4	0.21    2.1
46.329	34.638	8.6	0.25    2.5
45.687	34.824	9.7	0.24    2.4
45.822	34.447	3.4	0.21    2.1
45.591	34.588	6.3	0.24    2.4
45.982	34.587	8.4	0.16    1.6
45.833	34.514	15.4	0.18    1.8
45.606	34.706	17	0.21    2.1
45.6	34.272	15	0.3     3
45.897	34.596	8.4	0.3     3
45.742	34.506	17.4	0.19    1.9
45.796	34.91	11.6	0.29    2.9
45.8	34.919	12	0.28    2.8
46.071	34.681	10.9	0.29    2.9
46.076	34.701	15	0.23    2.3
46.07	34.681	11.1	0.29    2.9
46.082	34.675	11.1	0.25    2.5
46.193	34.614	11	0.23    2.3
45.73	34.664	9.2	0.25    2.5
46.038	34.554	7.3	0.24    2.4
46.056	34.534	4	0.9     9
45.825	34.459	14	0.25    2.5
45.792	34.491	16.6	0.15    1.5
45.814	34.469	13.8	0.19    1.9
45.76	34.418	17.2	0.22    2.2
45.698	34.631	18.8	0.21    2.1
46.304	34.667	11.4	0.22    2.2
45.604	34.678	13.9	0.29    2.9
45.624	34.668	13.3	0.29    2.9
46.115	34.68	9.7	0.31    3.1
45.806	35.129	12.2	0.26    2.6
45.66	34.57	28.4	0.16    1.6
45.602	34.609	18.7	0.22    2.2
45.87	34.48	12	0.18    1.8
45.713	34.807	10.6	0.19    1.9
46.066	34.607	12.7	0.46    4.6
45.848	34.926	15	0.32    3.2
46.061	34.605	12.8	0.25    2.5
45.788	34.483	15	0.27    2.7
45.783	34.395	13.7	0.26    2.6
45.698	34.505	13.5	0.25    2.5
45.47	34.66	17.3	0.23    2.3
46.055	34.606	12.3	0.24    2.4
46.194	34.646	5.6	0.32    3.2
45.737	34.863	8.8	0.25    2.5
46.062	34.606	12.4	0.32    3.2
45.635	34.543	20.9	0.34    3.4
46.426	35.369	10.9	0.34    3.4
45.259	34.644	4.4	0.29    2.9
45.257	34.64	21.9	0.39    3.9
45.756	35.096	17.1	0.31    3.1
45.824	34.794	15.2	0.18    1.8
46.299	34.608	16.6	0.27    2.7
46.072	34.62	8.1	0.28    2.8
45.785	34.449	13	0.2     2
45.779	34.818	7.6	0.34    3.4
45.785	34.813	6.2	0.47    4.7
45.786	34.813	7.8	0.38    3.8
46.094	34.559	10.6	0.22    2.2
45.749	34.472	18.1	0.26    2.6
45.659	34.643	15	0.29    2.9
45.9	34.45	18.9	0.15    1.5
45.735	34.561	13.9	0.19    1.9
45.773	34.751	10.6	0.22    2.2
45.794	34.757	11.1	0.41    4.1
45.77	34.897	9.2	0.3     3
45.863	35.107	10.8	0.29    2.9
45.482	34.786	15.7	0.19    1.9
45.609	34.624	20	0.23    2.3
45.706	34.603	13.8	0.15    1.5
45.876	34.498	13.5	0.27    2.7
45.674	34.849	12.4	0.26    2.6
45.504	34.743	15.7	0.23    2.3
45.77	34.54	15.3	0.27    2.7
45.774	34.792	13.4	0.2     2
45.708	34.783	13.2	0.27    2.7
46.026	34.586	3.5	0.22    2.2
46.195	34.894	10	0.41    4.1
46.185	34.884	10.3	0.33    3.3
45.653	34.6	18.7	0.27    2.7
45.875	34.501	14.3	0.36    3.6
45.628	34.544	21.7	0.26    2.6
45.986	34.658	7.8	0.21    2.1
45.609	34.554	15	0.23    2.3
45.737	34.462	16.7	0.45    4.5
45.776	34.462	15.6	0.3     3
46.253	34.665	12.2	0.47    4.7
46.253	34.658	8.3	0.29    2.9
46.259	34.668	7.2	0.29    2.9
46.251	34.671	9.9	0.37    3.7
46.249	34.659	7.3	0.22    2.2
45.749	34.463	15.8	0.17    1.7
45.757	34.461	16.6	0.19    1.9
45.719	34.457	15.9	0.23    2.3
45.872	34.602	6.6	0.23    2.3
46.264	34.655	8	0.21    2.1
45.866	34.505	13.7	0.26    2.6
46.244	34.661	7	0.29    2.9
45.75	34.576	16.5	0.48    4.8
46.254	34.653	7.4	0.24    2.4
45.76	34.478	14.2	0.2     2
45.977	34.617	7.3	0.26    2.6
45.587	34.672	10.8	0.32    3.2
46.106	34.556	10.4	0.26    2.6
46.32	34.647	8.5	0.34    3.4
46.018	34.62	8.2	0.22    2.2
46.016	34.617	8.6	0.24    2.4
46.243	34.648	6.9	0.31    3.1
45.863	34.506	5	0.25    2.5
45.795	34.791	11.8	0.21    2.1
45.594	34.573	12.7	0.23    2.3
45.706	34.955	15	0.28    2.8
45.772	34.522	15	0.21    2.1
45.657	34.59	17.9	0.23    2.3
45.637	34.628	6.7	0.26    2.6
46.465	34.96	5.3	0.28    2.8
46.062	34.599	11.7	0.18    1.8
45.723	34.611	10.7	0.16    1.6
45.95	34.591	12.4	0.21    2.1
45.726	35.003	9.7	0.29    2.9
46.259	34.661	7.6	0.44    4.4
46.243	34.657	9.8	0.25    2.5
46.248	34.66	6.6	0.3     3
45.892	34.588	8.3	0.2     2
45.871	34.596	9.3	0.31    3.1
45.902	34.617	7.9	0.25    2.5
45.862	34.381	12.4	0.31    3.1
45.918	34.699	20.7	0.27    2.7
45.743	34.47	16.6	0.32    3.2
45.876	34.48	15.4	0.19    1.9
46.332	34.656	4.9	0.25    2.5
45.887	34.482	13.1	0.28    2.8
46.414	34.612	10.1	0.24    2.4
46.038	34.554	10.9	0.25    2.5
45.859	34.529	12.5	0.21    2.1
46.237	34.65	6.3	0.22    2.2
46.057	34.604	11.7	0.2     2
46.24	34.651	8.1	0.23    2.3
46.294	34.482	16.7	0.34    3.4
46.01	33.898	15	0.21    2.1
45.818	34.501	12.9	0.26    2.6
46.093	34.561	10.1	0.17    1.7
46.101	34.56	10.6	0.23    2.3
46.304	34.476	15.9	0.32    3.2
46.105	34.558	10	0.26    2.6
46.074	34.558	2.4	0.17    1.7
46.099	34.559	9.6	0.27    2.7
46.318	34.653	7.3	0.43    4.3
46.115	34.553	11.5	0.19    1.9
45.752	34.617	25.8	0.21    2.1
46.089	34.563	9.6	0.2     2
46.096	34.561	10.6	0.26    2.6
45.514	34.752	15	0.24    2.4
45.947	34.516	11	0.22    2.2
46.251	34.6	10.1	0.28    2.8
46.194	34.765	13	0.32    3.2
45.844	34.931	17.2	0.43    4.3
46.147	34.577	5.3	0.29    2.9
45.87	34.917	17.6	0.27    2.7
46.246	34.957	6.5	0.31    3.1
46.109	34.557	12.6	0.22    2.2
45.949	34.639	10.9	0.21    2.1
46.064	34.565	8.7	0.21    2.1
46.073	34.551	7.5	0.16    1.6
46.241	34.65	10.7	0.27    2.7
46.016	34.622	6.1	0.17    1.7
46.065	34.609	13.1	0.33    3.3
45.564	34.762	14.3	0.26    2.6
45.773	34.595	15.5	0.21    2.1
46.464	34.948	8.4	0.29    2.9
46.389	34.613	12.1	0.32    3.2
45.78	34.821	4.3	0.22    2.2
45.56	34.533	17.8	0.31    3.1
45.835	34.786	15.3	0.24    2.4
45.805	34.496	9.8	0.22    2.2
46.345	34.658	5.8	0.21    2.1
45.712	34.506	14.3	0.21    2.1
45.601	34.749	7.3	0.3     3
45.699	34.628	8	0.2     2
45.645	34.637	21.1	0.24    2.4
45.776	34.439	11.5	0.27    2.7
46.068	34.551	10.6	0.2     2
45.515	34.765	11.3	0.34    3.4
45.828	34.918	17.9	0.2     2
45.819	34.452	11.5	0.2     2
45.991	34.663	9.7	0.22    2.2
45.983	34.626	7.9	0.21    2.1
45.901	34.488	19.9	0.18    1.8
46.254	34.651	8.3	0.32    3.2
46.13	34.879	2.2	0.47    4.7
46.331	34.641	6.4	0.38    3.8
45.799	34.922	13.1	0.24    2.4
45.734	34.468	16	0.23    2.3
46.234	34.772	11.6	0.25    2.5
45.773	34.429	17.9	0.25    2.5
46.169	34.753	5.6	0.17    1.7
46.176	34.511	11.9	0.22    2.2
45.76	34.967	11.4	0.25    2.5
46.165	34.497	8.3	0.23    2.3
46.172	34.506	12.5	0.23    2.3
45.792	34.92	11.3	0.33    3.3
45.553	34.581	20.1	0.23    2.3
46.187	34.5	11.9	0.26    2.6
45.753	34.535	11.4	0.21    2.1
45.769	34.594	15.7	0.21    2.1
46.35	34.672	4.6	0.25    2.5
45.834	34.944	14	0.32    3.2
46.073	34.685	11.2	0.19    1.9
45.853	34.934	13.7	0.26    2.6
46.353	34.682	7.7	0.3     3
45.658	34.682	12.9	0.21    2.1
45.787	34.808	12.6	0.43    4.3
45.614	34.647	14.6	0.27    2.7
46.107	34.578	6.7	0.24    2.4
45.763	34.467	16.3	0.28    2.8
46.102	34.585	7.1	0.24    2.4
45.66	34.566	15	0.23    2.3
46.449	33.109	0	0.32    3.2
45.773	34.378	13.5	0.26    2.6
45.863	34.492	15.1	0.27    2.7
45.721	34.663	10.3	0.19    1.9
46.251	34.659	7.4	0.28    2.8
46.274	34.657	5.8	0.27    2.7
45.752	34.584	6.9	0.21    2.1
45.533	34.809	16.9	0.33    3.3
45.552	34.802	19.9	0.38    3.8
45.389	34.718	18.9	0.34    3.4
45.613	34.536	18.8	0.37    3.7
45.611	34.536	18.9	0.2     2
45.661	34.357	16	0.23    2.3
45.606	34.539	19	0.21    2.1
45.682	34.816	13.6	0.29    2.9
46.066	34.649	14	0.18    1.8
45.812	34.974	9.5	0.25    2.5
45.647	34.677	12	0.18    1.8
45.552	34.658	17.7	0.22    2.2
45.681	34.709	13.2	0.21    2.1
45.719	34.712	6.6	0.25    2.5
46.282	34.591	10.4	0.27    2.7
46.263	34.671	8.7	0.38    3.8
46.269	34.667	8.6	0.28    2.8
45.893	35.088	15.1	0.27    2.7
45.652	34.718	16.6	0.28    2.8
45.673	34.731	9.8	0.19    1.9
45.688	34.823	17.3	0.22    2.2
46.259	34.645	7.9	0.31    3.1
45.923	34.49	6.9	0.17    1.7
45.73	34.845	13.7	0.33    3.3
45.661	34.851	15	0.28    2.8
45.748	34.529	11.5	0.16    1.6
46.619	34.427	15	0.27    2.7
45.769	34.585	8	0.21    2.1
45.667	34.382	6.9	0.21    2.1
45.795	34.549	19.1	0.3     3
46.041	34.551	9.2	0.24    2.4
45.589	34.528	16.9	0.27    2.7
45.871	34.563	19.9	0.12    1.2
45.813	34.971	10.9	0.28    2.8
45.773	34.551	12.9	0.25    2.5
45.834	34.447	10.3	0.23    2.3
45.532	34.34	16	0.21    2.1
45.711	34.842	12.8	0.31    3.1
45.919	34.493	4.1	0.21    2.1
45.727	34.749	13.7	0.28    2.8
45.775	35.101	17.6	0.4     4
46.196	34.633	9.7	0.3     3
46.201	34.632	9.8	0.3     3
45.743	34.739	12.4	0.2     2
46.195	34.637	10.3	0.23    2.3
45.623	34.816	19.6	0.44    4.4
46.106	34.568	8.8	0.22    2.2
45.853	34.461	12.5	0.47    4.7
45.834	34.47	10	0.18    1.8
46.277	34.772	3.4	0.22    2.2
45.579	34.808	20	0.33    3.3
45.714	34.715	15	0.22    2.2
45.72	34.709	8.8	0.27    2.7
45.743	34.656	4.5	0.42    4.2
45.829	34.929	9.4	0.2     2
46.245	34.65	8.3	0.25    2.5
46.117	34.622	9.5	0.18    1.8
45.734	34.839	12.9	0.22    2.2
46.342	34.676	8.8	0.24    2.4
46.356	34.674	9.3	0.33    3.3
46.345	34.671	6.6	0.29    2.9
46.204	34.684	8.3	0.33    3.3
45.9	34.6	7.8	0.19    1.9
45.601	34.501	12.3	0.29    2.9
45.894	34.611	7	0.2     2
45.611	34.655	17.3	0.24    2.4
45.999	34.607	7.7	0.31    3.1
46.006	34.605	6.8	0.22    2.2
45.714	34.705	5.2	0.21    2.1
45.707	34.901	9.9	0.19    1.9
45.787	34.765	15	0.31    3.1
45.787	34.538	12.6	0.23    2.3
46.344	34.672	7.7	0.31    3.1
46.346	34.648	6.8	0.33    3.3
45.674	34.714	14.9	0.27    2.7
45.825	34.455	15.1	0.25    2.5
45.686	34.721	19.4	0.29    2.9
45.856	34.928	15.3	0.23    2.3
45.729	34.619	13.4	0.23    2.3
45.725	34.621	13.3	0.24    2.4
46.377	34.647	0.8	0.25    2.5
45.972	34.618	6.1	0.19    1.9
46.283	34.579	10.6	0.22    2.2
45.999	34.602	6.4	0.17    1.7
45.972	34.491	12.5	0.35    3.5
45.874	34.567	8.3	0.23    2.3
45.65	34.51	18.9	0.22    2.2
45.721	34.601	6.3	0.19    1.9
45.717	34.632	9.3	0.14    1.4
46.214	34.613	9.2	0.28    2.8
45.594	34.531	17	0.43    4.3
46.302	34.602	13.2	0.3     3
45.589	34.538	17.4	0.22    2.2
45.707	34.907	18.8	0.27    2.7
45.594	34.815	20.1	0.32    3.2
45.837	34.933	13.5	0.24    2.4
45.764	35	10	0.23    2.3
45.767	34.822	9.1	0.28    2.8
45.739	34.47	17	0.51    5.1
45.731	34.431	16.1	0.38    3.8
45.9	34.603	7.9	0.28    2.8
45.734	34.47	15.2	0.25    2.5
45.765	34.455	12.1	0.3     3
45.744	34.453	15.7	0.32    3.2
45.742	34.473	17	0.23    2.3
45.727	34.462	17.7	0.3     3
46.155	34.335	10.4	0.34    3.4
45.918	34.405	13.6	0.23    2.3
45.878	34.607	7.3	0.18    1.8
45.724	34.468	16.3	0.28    2.8
45.729	34.383	15.6	0.27    2.7
45.748	34.431	13.5	0.18    1.8
45.733	34.437	16.1	0.2     2
45.734	34.396	12.4	0.23    2.3
45.73	34.439	12.3	0.2     2
45.769	34.396	13.3	0.44    4.4
45.696	34.4	13.9	0.25    2.5
45.545	34.527	20.3	0.23    2.3
45.756	34.429	10	0.35    3.5
45.57	34.689	12.3	0.28    2.8
45.774	34.404	13.6	0.23    2.3
45.75	34.431	14.1	0.26    2.6
45.756	34.391	16.8	0.3     3
45.529	34.54	20	0.26    2.6
45.635	34.87	13.8	0.33    3.3
45.723	34.427	12	0.23    2.3
