#Lon	Lat	Depth size	Mag.
46.106	34.567	8.9	0.3     3
46.099	34.57	8	0.3     3
46.098	34.571	7.7	0.31    3.1
46.099	34.573	7.7	0.26    2.6
46.103	34.569	8.3	0.31    3.1
45.862	34.901	11.4	0.31    3.1
45.867	34.902	11.9	0.3     3
44.993	34.042	36.9	0.35    3.5
46.095	34.562	8.2	0.25    2.5
45.682	34.922	8.5	0.38    3.8
45.915	34.532	9	0.27    2.7
46.159	34.542	7.4	0.34    3.4
45.649	34.981	12.2	0.32    3.2
45.769	34.726	7.7	0.25    2.5
45.661	34.972	12.8	0.32    3.2
45.7	34.47	17.1	0.26    2.6
45.724	34.712	9	0.29    2.9
45.768	34.766	9.2	0.3     3
45.911	34.424	9.5	0.31    3.1
45.674	34.569	13.8	0.28    2.8
45.984	34.495	8.1	0.21    2.1
45.695	34.922	12.5	0.49    4.9
45.693	34.918	12.5	0.5     5
46.291	34.643	8.2	0.28    2.8
45.939	34.516	8	0.19    1.9
45.75	34.701	6	0.22    2.2
45.693	34.648	13.4	0.23    2.3
45.737	34.551	12.9	0.24    2.4
45.81	34.982	21.1	0.37    3.7
45.705	34.603	13.8	0.27    2.7
45.757	34.578	15.1	0.43    4.3
45.623	34.788	14.6	0.36    3.6
45.858	34.589	6.8	0.2     2
45.635	34.793	14.1	0.45    4.5
45.764	34.475	18.5	0.29    2.9
45.619	34.787	11.8	0.45    4.5
45.779	34.568	13	0.2     2
45.743	34.866	9.1	0.22    2.2
45.858	34.52	9.6	0.17    1.7
45.848	34.79	13.6	0.21    2.1
45.691	34.597	3.4	0.29    2.9
45.687	34.61	7.7	0.29    2.9
45.88	34.356	7.7	0.24    2.4
46.07	34.623	7.9	0.23    2.3
45.859	34.876	8	0.25    2.5
45.911	34.423	8.9	0.19    1.9
45.742	34.488	16.5	0.19    1.9
45.74	34.493	15.3	0.18    1.8
46.169	34.645	7.7	0.22    2.2
46.32	34.701	8.2	0.26    2.6
45.751	34.491	15.6	0.29    2.9
45.811	34.608	14	0.3     3
45.805	34.616	14.7	0.3     3
45.926	34.407	11.4	0.32    3.2
45.915	34.413	11	0.33    3.3
45.699	34.92	8	0.28    2.8
45.746	34.662	9.3	0.28    2.8
45.734	34.911	10.8	0.25    2.5
46.268	34.628	7.9	0.27    2.7
45.902	34.486	12	0.37    3.7
45.922	34.49	10.7	0.24    2.4
45.915	34.479	15.1	0.33    3.3
45.906	34.48	13.9	0.32    3.2
45.919	34.488	11.1	0.28    2.8
45.812	34.455	13.1	0.23    2.3
46.109	34.573	8.7	0.31    3.1
46.109	34.573	8.6	0.3     3
45.881	34.58	6.9	0.27    2.7
45.69	34.71	10.8	0.33    3.3
45.768	34.511	7.7	0.23    2.3
45.596	34.587	11.3	0.23    2.3
45.779	34.477	16.6	0.35    3.5
45.786	34.475	12.6	0.35    3.5
46.035	34.682	8.1	0.22    2.2
46.034	34.683	8.2	0.25    2.5
46.089	34.566	7.6	0.19    1.9
45.89	34.62	7.7	0.22    2.2
46.17	34.6	7.5	0.26    2.6
45.549	34.565	15.8	0.23    2.3
45.751	34.708	6.7	0.26    2.6
45.771	34.822	8	0.25    2.5
45.739	34.82	13.7	0.25    2.5
45.886	34.631	7.7	0.24    2.4
45.634	34.545	17	0.31    3.1
45.613	34.555	16.8	0.32    3.2
45.91	34.59	7.4	0.24    2.4
45.627	34.548	17.9	0.29    2.9
45.613	34.557	17.3	0.28    2.8
46.282	34.634	9.3	0.28    2.8
45.786	35.062	4.8	0.29    2.9
46.226	34.532	11	0.23    2.3
45.919	34.531	8.8	0.31    3.1
46.093	34.57	8	0.32    3.2
46.1	34.566	7.5	0.26    2.6
46.033	34.687	9.6	0.25    2.5
45.659	34.519	17.1	0.25    2.5
45.728	34.579	17.2	0.23    2.3
45.781	34.597	12.7	0.22    2.2
46.034	34.685	8	0.23    2.3
46.297	34.668	5.4	0.28    2.8
46.272	34.486	8.4	0.23    2.3
46.096	34.571	8	0.3     3
46.304	34.668	6.3	0.29    2.9
46.016	34.575	0	0.3     3
45.891	34.609	6.6	0.22    2.2
45.773	34.633	16.2	0.28    2.8
45.847	34.995	0.7	0.3     3
45.622	34.763	14.1	0.31    3.1
45.621	34.765	14.2	0.33    3.3
45.904	34.484	12.2	0.39    3.9
46.107	34.611	3.5	0.37    3.7
45.889	34.611	6.5	0.26    2.6
45.743	34.626	10.7	0.25    2.5
45.751	34.554	13.7	0.36    3.6
46.033	34.687	8	0.27    2.7
45.566	34.564	13.9	0.27    2.7
45.887	34.612	7.9	0.28    2.8
45.641	34.628	15	0.2     2
46.394	34.589	7.1	0.34    3.4
45.974	34.52	10.3	0.24    2.4
46.081	34.631	5.5	0.29    2.9
46.103	34.574	7.6	0.25    2.5
45.684	34.856	7.2	0.3     3
46.288	34.669	7	0.3     3
46.298	34.685	7.8	0.36    3.6
46.101	34.57	8	0.25    2.5
46.064	34.547	8.3	0.22    2.2
45.603	34.814	9.5	0.38    3.8
45.718	34.754	8.4	0.3     3
46.028	34.591	8	0.25    2.5
45.714	34.781	7.6	0.32    3.2
46.033	34.684	8.6	0.22    2.2
45.776	34.535	14.6	0.3     3
46.193	34.613	8	0.28    2.8
45.791	34.459	17.1	0.22    2.2
46.095	34.574	8.6	0.26    2.6
46.034	34.689	8.2	0.3     3
46.038	34.68	8.7	0.31    3.1
46.032	34.69	8.6	0.31    3.1
46.032	34.689	8	0.27    2.7
46.035	34.682	8.5	0.23    2.3
45.861	34.487	9.8	0.28    2.8
45.806	34.476	14.4	0.28    2.8
45.806	34.477	14	0.28    2.8
45.738	34.702	14.8	0.37    3.7
45.727	34.712	14.7	0.37    3.7
46.089	34.573	9.4	0.26    2.6
46.091	34.572	8.5	0.26    2.6
45.618	34.501	17.4	0.36    3.6
45.721	34.527	16.7	0.35    3.5
45.956	34.488	4.8	0.34    3.4
46.011	34.586	4.3	0.32    3.2
45.784	34.614	16.5	0.34    3.4
45.88	34.618	7.6	0.24    2.4
45.454	34.764	22.4	0.3     3
45.671	34.655	16.8	0.25    2.5
45.693	34.92	11.4	0.33    3.3
46.087	34.579	8.6	0.27    2.7
45.695	34.552	19.3	0.25    2.5
46.083	34.675	8.1	0.32    3.2
46.327	34.617	10.1	0.3     3
46.135	34.678	10.6	0.33    3.3
46.045	34.582	6.1	0.35    3.5
46.051	34.583	6	0.33    3.3
45.875	34.497	10.9	0.24    2.4
45.912	34.489	11	0.23    2.3
45.907	34.488	11.4	0.26    2.6
45.63	34.625	14.4	0.29    2.9
46.164	34.32	7.5	0.26    2.6
46.274	34.663	5.8	0.33    3.3
45.784	34.711	7.2	0.32    3.2
45.779	34.721	7	0.25    2.5
46.126	34.593	8	0.32    3.2
46.126	34.588	8	0.32    3.2
45.82	34.475	13.6	0.31    3.1
45.822	34.476	12.9	0.31    3.1
45.639	34.598	17.8	0.27    2.7
45.778	34.55	13	0.27    2.7
46.021	34.621	7.4	0.24    2.4
45.883	34.608	7.9	0.29    2.9
45.771	34.611	13.7	0.24    2.4
45.858	34.946	8.9	0.31    3.1
46.035	34.602	6.2	0.27    2.7
45.651	34.496	3.1	0.24    2.4
46.094	34.577	11	0.3     3
45.887	34.48	11.4	0.17    1.7
46.225	34.667	8	0.35    3.5
45.757	34.585	14.2	0.48    4.8
45.841	34.431	3.7	0.33    3.3
46.075	34.587	8	0.22    2.2
45.741	34.612	15.3	0.37    3.7
45.823	34.882	4.4	0.27    2.7
46.28	34.669	5.4	0.28    2.8
45.997	34.483	11.3	0.27    2.7
45.745	34.586	17.5	0.33    3.3
45.843	34.943	9.4	0.28    2.8
45.734	34.612	14.5	0.26    2.6
46.095	34.569	0	0.34    3.4
46.077	34.574	7.7	0.25    2.5
46.29	34.672	5.8	0.29    2.9
45.665	34.88	9	0.29    2.9
45.719	34.645	11	0.33    3.3
46.105	34.57	8	0.24    2.4
45.718	34.679	9.1	0.23    2.3
46.085	34.575	8	0.28    2.8
45.31	34.68	0	0.3     3
45.754	34.896	9	0.25    2.5
46.034	34.685	8.3	0.22    2.2
45.618	34.649	12.7	0.29    2.9
45.79	34.525	13.1	0.38    3.8
45.838	34.804	12.7	0.28    2.8
45.911	34.587	9.4	0.24    2.4
45.591	34.654	18.9	0.25    2.5
46.289	34.661	5.6	0.34    3.4
45.624	34.531	18.4	0.26    2.6
46.294	34.67	5.7	0.27    2.7
45.893	34.505	8	0.18    1.8
45.835	34.961	7.2	0.4     4
45.679	34.851	7.9	0.43    4.3
45.752	34.58	15.3	0.27    2.7
45.745	34.527	13.9	0.26    2.6
45.807	34.576	11.9	0.27    2.7
45.771	34.479	15.5	0.34    3.4
45.766	34.48	14.9	0.33    3.3
45.604	34.769	7.9	0.34    3.4
45.553	34.818	7.7	0.32    3.2
46.316	34.66	7.9	0.36    3.6
46.086	34.574	8	0.25    2.5
46.094	34.582	11.1	0.28    2.8
45.862	34.884	7.1	0.3     3
45.799	34.901	4.2	0.39    3.9
45.703	34.445	16	0.24    2.4
45.791	34.919	0	0.29    2.9
45.666	34.678	17.7	0.23    2.3
45.789	34.9	0	0.23    2.3
45.61	34.756	12.5	0.27    2.7
45.756	34.786	17.2	0.29    2.9
46.092	34.57	8	0.24    2.4
46.343	34.647	7.8	0.2     2
45.828	34.962	0.8	0.29    2.9
45.744	34.71	7.8	0.3     3
45.589	34.836	8.9	0.27    2.7
45.678	34.899	8.7	0.25    2.5
46.086	34.571	8.1	0.21    2.1
46.012	34.606	6.9	0.2     2
45.917	34.991	4	0.28    2.8
46.203	34.618	5.3	0.22    2.2
46.347	34.615	4.3	0.33    3.3
45.811	34.547	19.4	0.32    3.2
45.85	34.891	9.6	0.32    3.2
46.146	34.526	10.9	0.25    2.5
46.123	34.584	7.3	0.24    2.4
45.546	34.809	8.7	0.34    3.4
45.559	34.804	3.6	0.35    3.5
46.078	34.667	7.8	0.24    2.4
46.053	34.588	7.9	0.25    2.5
45.769	35.268	15	0.42    4.2
45.936	34.574	9.9	0.23    2.3
46.171	34.452	10.9	0.23    2.3
45.664	34.696	9.3	0.21    2.1
46.069	34.389	8	0.16    1.6
45.933	34.569	9	0.24    2.4
45.773	34.618	15.6	0.21    2.1
45.779	34.522	16.9	0.15    1.5
45.743	34.711	6.7	0.33    3.3
45.712	34.492	15.3	0.23    2.3
46.159	34.524	8	0.23    2.3
45.789	34.587	15.2	0.23    2.3
46.019	34.614	6.2	0.28    2.8
46.105	34.599	11.9	0.23    2.3
46.23	34.613	9.3	0.26    2.6
46.381	34.646	8.1	0.31    3.1
